,decile,WORDS,Value
0,"(135265.0, 150000.0]",support,24
1,"(135265.0, 150000.0]",covid,16
2,"(135265.0, 150000.0]",intend,16
3,"(135265.0, 150000.0]",organization,16
4,"(135265.0, 150000.0]",pandemic,16
5,"(135265.0, 150000.0]",recovery,16
6,"(135265.0, 150000.0]",activity,8
7,"(135265.0, 150000.0]",additional,8
8,"(135265.0, 150000.0]",art,8
9,"(135265.0, 150000.0]",artist,8
10,"(135265.0, 150000.0]",artistic,8
11,"(135265.0, 150000.0]",assistance,8
12,"(135265.0, 150000.0]",audience,8
13,"(135265.0, 150000.0]",beneficiary,8
14,"(135265.0, 150000.0]",benefit,8
15,"(135265.0, 150000.0]",constituency,8
16,"(135265.0, 150000.0]",cultural,8
17,"(135265.0, 150000.0]",description,8
18,"(135265.0, 150000.0]",devastating,8
19,"(135265.0, 150000.0]",economic,8
20,"(17385.0, 32120.0]",music,204
21,"(17385.0, 32120.0]",support,196
22,"(17385.0, 32120.0]",project,155
23,"(17385.0, 32120.0]",include,146
24,"(17385.0, 32120.0]",work,133
25,"(17385.0, 32120.0]",program,130
26,"(17385.0, 32120.0]",performance,129
27,"(17385.0, 32120.0]",concert,126
28,"(17385.0, 32120.0]",student,124
29,"(17385.0, 32120.0]",orchestra,115
30,"(17385.0, 32120.0]",composer,114
31,"(17385.0, 32120.0]",school,96
32,"(17385.0, 32120.0]",intend,94
33,"(17385.0, 32120.0]",activity,88
34,"(17385.0, 32120.0]",beneficiary,88
35,"(17385.0, 32120.0]",new,83
36,"(17385.0, 32120.0]",community,81
37,"(17385.0, 32120.0]",artist,74
38,"(17385.0, 32120.0]",educational,67
39,"(17385.0, 32120.0]",musician,65
40,"(2502.65, 17385.0]",concert,526
41,"(2502.65, 17385.0]",support,517
42,"(2502.65, 17385.0]",music,478
43,"(2502.65, 17385.0]",performance,442
44,"(2502.65, 17385.0]",student,373
45,"(2502.65, 17385.0]",school,368
46,"(2502.65, 17385.0]",project,366
47,"(2502.65, 17385.0]",include,304
48,"(2502.65, 17385.0]",program,303
49,"(2502.65, 17385.0]",activity,251
50,"(2502.65, 17385.0]",community,251
51,"(2502.65, 17385.0]",orchestra,234
52,"(2502.65, 17385.0]",work,208
53,"(2502.65, 17385.0]",perform,194
54,"(2502.65, 17385.0]",musician,181
55,"(2502.65, 17385.0]",feature,176
56,"(2502.65, 17385.0]",intend,173
57,"(2502.65, 17385.0]",beneficiary,158
58,"(2502.65, 17385.0]",artist,155
59,"(2502.65, 17385.0]",art,140
60,"(32120.0, 46855.0]",concert,118
61,"(32120.0, 46855.0]",performance,113
62,"(32120.0, 46855.0]",project,112
63,"(32120.0, 46855.0]",support,111
64,"(32120.0, 46855.0]",music,104
65,"(32120.0, 46855.0]",composer,99
66,"(32120.0, 46855.0]",include,90
67,"(32120.0, 46855.0]",work,73
68,"(32120.0, 46855.0]",orchestra,67
69,"(32120.0, 46855.0]",activity,64
70,"(32120.0, 46855.0]",feature,63
71,"(32120.0, 46855.0]",community,62
72,"(32120.0, 46855.0]",intend,55
73,"(32120.0, 46855.0]",artist,54
74,"(32120.0, 46855.0]",program,51
75,"(32120.0, 46855.0]",beneficiary,49
76,"(32120.0, 46855.0]",musician,47
77,"(32120.0, 46855.0]",as,45
78,"(32120.0, 46855.0]",new,44
79,"(32120.0, 46855.0]",perform,40
80,"(46855.0, 61590.0]",support,115
81,"(46855.0, 61590.0]",covid,62
82,"(46855.0, 61590.0]",pandemic,62
83,"(46855.0, 61590.0]",music,55
84,"(46855.0, 61590.0]",personnel,55
85,"(46855.0, 61590.0]",response,55
86,"(46855.0, 61590.0]",cost,49
87,"(46855.0, 61590.0]",performance,43
88,"(46855.0, 61590.0]",concert,40
89,"(46855.0, 61590.0]",activity,37
90,"(46855.0, 61590.0]",musician,36
91,"(46855.0, 61590.0]",composer,34
92,"(46855.0, 61590.0]",include,33
93,"(46855.0, 61590.0]",project,30
94,"(46855.0, 61590.0]",community,27
95,"(46855.0, 61590.0]",orchestra,25
96,"(46855.0, 61590.0]",work,25
97,"(46855.0, 61590.0]",festival,24
98,"(46855.0, 61590.0]",program,24
99,"(46855.0, 61590.0]",intend,22
100,"(61590.0, 76325.0]",concert,42
101,"(61590.0, 76325.0]",include,28
102,"(61590.0, 76325.0]",music,25
103,"(61590.0, 76325.0]",support,25
104,"(61590.0, 76325.0]",orchestra,22
105,"(61590.0, 76325.0]",activity,19
106,"(61590.0, 76325.0]",community,17
107,"(61590.0, 76325.0]",performance,17
108,"(61590.0, 76325.0]",program,17
109,"(61590.0, 76325.0]",conduct,16
110,"(61590.0, 76325.0]",feature,15
111,"(61590.0, 76325.0]",work,15
112,"(61590.0, 76325.0]",free,14
113,"(61590.0, 76325.0]",symphony,14
114,"(61590.0, 76325.0]",composer,13
115,"(61590.0, 76325.0]",educational,13
116,"(61590.0, 76325.0]",neighborhood,13
117,"(61590.0, 76325.0]",musician,12
118,"(61590.0, 76325.0]",project,12
119,"(61590.0, 76325.0]",director,11
120,"(76325.0, 91060.0]",orchestra,45
121,"(76325.0, 91060.0]",league,23
122,"(76325.0, 91060.0]",concert,16
123,"(76325.0, 91060.0]",support,16
124,"(76325.0, 91060.0]",leadership,15
125,"(76325.0, 91060.0]",skill,15
126,"(76325.0, 91060.0]",development,14
127,"(76325.0, 91060.0]",include,13
128,"(76325.0, 91060.0]",program,12
129,"(76325.0, 91060.0]",free,11
130,"(76325.0, 91060.0]",national,11
131,"(76325.0, 91060.0]",online,11
132,"(76325.0, 91060.0]",strengthen,11
133,"(76325.0, 91060.0]",information,10
134,"(76325.0, 91060.0]",leader,10
135,"(76325.0, 91060.0]",provide,10
136,"(76325.0, 91060.0]",communication,9
137,"(76325.0, 91060.0]",conference,9
138,"(76325.0, 91060.0]",service,9
139,"(76325.0, 91060.0]",strategic,9
140,"(91060.0, 105795.0]",support,16
141,"(91060.0, 105795.0]",covid,8
142,"(91060.0, 105795.0]",intend,8
143,"(91060.0, 105795.0]",organization,8
144,"(91060.0, 105795.0]",pandemic,8
145,"(91060.0, 105795.0]",recovery,8
146,"(91060.0, 105795.0]",art,6
147,"(91060.0, 105795.0]",school,6
148,"(91060.0, 105795.0]",strengthen,6
149,"(91060.0, 105795.0]",league,5
150,"(91060.0, 105795.0]",orchestra,5
151,"(91060.0, 105795.0]",personnel,5
152,"(91060.0, 105795.0]",program,5
153,"(91060.0, 105795.0]",activity,4
154,"(91060.0, 105795.0]",additional,4
155,"(91060.0, 105795.0]",artist,4
156,"(91060.0, 105795.0]",artistic,4
157,"(91060.0, 105795.0]",assistance,4
158,"(91060.0, 105795.0]",audience,4
159,"(91060.0, 105795.0]",beneficiary,4
